year,date_def,juzgado,acta
2020,22/03/2019,51,1765
2020,02/04/2020,51,3584
2020,01/01/2020,51,64
2020,31/01/2020,51,1220
2020,04/05/2020,51,7133
2020,16/05/2020,51,9019
2020,27/01/2020,51,1102
2020,09/04/2020,51,4015
2020,02/04/2020,51,3624
2020,10/04/2020,51,4172
2020,29/04/2020,51,6128
2020,10/05/2020,51,8081
2020,13/05/2020,51,8575
2020,08/03/2020,51,2484
2020,18/04/2020,51,4691
2020,14/01/2020,51,592
2020,25/03/2020,51,3106
2020,30/04/2020,51,6481
2020,10/04/2020,51,4126
2020,11/04/2020,51,4211
2020,09/05/2020,51,7934
2020,03/05/2020,51,7013
2020,02/03/2020,51,2292
2020,12/05/2020,51,8424
2020,26/04/2020,51,5617
2020,22/04/2020,51,5134
2020,08/02/2020,51,1583
2020,03/04/2020,51,3645
2020,01/04/2020,51,3581
2020,24/04/2020,51,5348
2020,29/01/2020,51,1212
2020,24/01/2020,51,980
2020,24/04/2020,51,5396
2020,03/01/2020,51,219
2020,30/03/2020,51,3470
2020,10/02/2020,51,1642
2020,30/04/2020,51,6578
2020,28/03/2020,51,3370
2020,05/05/2020,51,7409
2020,31/12/2019,51,9
2020,26/01/2020,51,1090
2020,30/04/2020,51,6322
2020,05/05/2020,51,7388
2020,01/01/2020,51,41
2020,06/03/2020,51,2405
2020,04/05/2020,51,7211
2020,06/05/2020,51,7524
2020,12/03/2020,51,2660
2020,13/05/2020,51,8732
2020,02/01/2020,51,106
2020,30/04/2020,51,6302
2020,10/05/2020,51,8062
2020,07/05/2020,51,7711
2020,12/05/2020,51,8473
2020,27/01/2020,51,1122
2020,18/04/2020,51,4674
2020,24/04/2020,51,5348
2020,04/02/2020,51,1421
2020,01/05/2020,51,6378
2020,09/05/2020,51,8051
2020,16/05/2020,51,9067
2020,08/05/2020,51,7819
2020,14/05/2020,51,8873
2020,07/05/2020,51,7686
2020,28/04/2020,51,5972
2020,28/04/2020,51,6046
2020,23/04/2020,51,5216
2020,03/05/2020,51,6861
2020,29/04/2020,51,6033
2020,10/05/2020,51,8139
2020,25/03/2020,51,3143
2020,03/03/2020,51,2305
2020,17/05/2020,51,9147
2020,30/04/2020,51,6542
2020,04/05/2020,51,7138
2020,16/05/2020,51,9028
2020,25/04/2020,51,5406
2020,21/03/2020,51,2978
2020,17/04/2020,51,4672
2020,07/04/2020,51,3900
2020,16/05/2020,51,9099
2020,11/05/2020,51,8226
2020,03/05/2020,51,7010
2020,11/05/2020,51,8269
2020,01/01/2020,51,65
2020,02/05/2020,51,6602
2020,06/02/2020,51,1507
2020,11/05/2020,51,8386
2020,07/05/2020,51,7798
2020,20/04/2020,51,4877
2020,25/04/2020,51,5437
2020,08/04/2020,51,3954
2020,22/04/2020,51,5035
2020,12/05/2020,51,8550
2020,22/03/2020,51,2999
2020,19/04/2020,51,4807
2020,12/05/2020,51,8506
2020,22/01/2020,51,904
2020,16/01/2020,51,621
2020,25/04/2020,51,5434
2020,15/04/2020,51,4506
2020,21/04/2020,51,5036
2020,04/01/2020,51,217
2020,14/05/2020,51,8786
2020,05/03/2020,51,2381
2020,25/03/2020,51,3114
2020,28/04/2020,51,5897
2020,08/05/2020,51,7853
2020,02/05/2020,51,6824
2020,06/04/2020,51,3858
2020,15/03/2020,51,2742
2020,03/01/2020,51,220
2020,09/05/2020,51,8063
2020,15/05/2020,51,8895
2020,28/04/2020,51,6015
2020,11/05/2020,51,8306
2020,01/02/2020,51,1294
2020,25/03/2020,51,3141
2020,07/02/2020,51,1547
2020,04/02/2019,51,1129
2020,24/04/2020,51,5311
2020,08/02/2020,51,1512
2020,04/05/2020,51,7111
2020,15/04/2020,51,4488
2020,17/05/2020,51,9196
2020,16/02/2020,51,1829
2020,20/04/2020,51,4861
2020,01/05/2020,51,6574
2020,03/03/2020,51,2339
2020,04/03/2020,51,2370
2020,28/04/2020,51,5918
2020,27/03/2020,51,3244
2020,15/05/2020,51,9056
2020,18/01/2020,51,775
2020,01/02/2020,51,1349
2020,17/05/2020,51,9134
2020,14/05/2020,51,8790
2020,22/02/2020,51,2014
2020,23/01/2020,51,916
2020,11/04/2020,51,4190
2020,02/05/2020,51,6873
2020,12/02/2020,51,1685
2020,25/02/2020,51,2102
2020,08/01/2020,51,364
2020,20/02/2020,51,1946
2020,13/05/2020,51,8655
2020,15/04/2020,51,4563
2020,15/05/2020,51,8855
2020,11/05/2020,51,8321
2020,11/04/2020,51,4216
2020,20/02/2020,51,1957
2020,19/01/2020,51,803
2020,04/04/2020,51,3692
2020,04/04/2020,51,3724
2020,14/05/2020,51,8850
2020,02/05/2020,51,6699
2020,05/03/2020,51,2363
2020,07/04/2020,51,3872
2020,03/05/2020,51,7030
2020,01/05/2020,51,6547
2020,25/01/2020,51,1037
2020,14/02/2020,51,1762
2020,29/04/2020,51,6145
2020,02/03/2020,51,2272
2020,01/04/2020,51,3559
